Elevation (ft),Storage (TAF),Area (acres)
5401,0,0
5405,0.001,1.12
5410,0.024,8.58
5415,0.092,19.22
5420,0.236,39.59
5425,0.521,75.98
5430,0.982,112.41
5435,1.662,155.79
5440,2.51,182.85
5445,3.498,213.47
5450,4.649,245.9
5455,5.999,295.26
5460,7.579,334.6
5465,9.326,362.69
5470,11.202,387.97
5475,13.21,415.25
5480,15.346,439.93
5485,17.611,466.18
5490,20.01,493.26
5495,22.543,520.16
5500,25.212,546.96
5505,28.015,574.5
5510,30.955,601.52
5515,34.028,627.68
5520,37.225,650.8
5525,40.54,674.98
5530,43.974,698.04
5535,47.52,719.78
5540,51.168,739.17
5545,54.912,758.21
5550,58.749,777.42
5555,62.688,797.59
5560,66.722,815.71
5562,68.363,827.41
5564,70,840
5566,75,860
