Elevation (ft),Capacity (acre-feet),Area (acres)
0,0,0
170,1003,5.9
171,1059,56
172,1117,58
173,1178,61
174,1241,63
175,1310,69
176,1376,66
177,1448,72
178,1524,76
179,1602,78
180,1685,83
181,1771,86
182,1862,91
183,1957,95
184,2056,99
185,2159,103
186,2268,109
187,2381,113
188,2500,119
189,2624,124
190,2754,130
191,2889,135
192,3030,141
193,3178,148
194,3332,154
195,3492,160
196,3659,167
197,3833,174
198,4013,180
199,4201,188
200,4397,196
201,4600,203
202,4811,211
203,5030,219
204,5257,227
205,5493,236
206,5737,244
207,5990,253
208,6251,261
209,6522,271
210,6802,280
211,7092,290
212,7391,299
213,7701,310
214,8020,319
215,8350,330
216,8690,340
217,9040,350
218,9402,362
219,9774,372
220,10160,386
221,10550,390
222,10960,410
223,11380,420
224,11810,430
225,12250,440
226,12700,450
227,13170,470
228,13650,480
229,14140,490
230,14650,510
231,15170,520
232,15700,530
233,16250,550
234,16810,560
235,17380,570
236,17970,590
237,18570,600
238,19190,620
239,19820,630
240,20470,650
241,21130,660
242,21810,680
243,22500,690
244,23210,710
245,23940,730
246,24680,740
247,25430,750
248,26200,770
249,27000,800
250,27800,800
251,28630,830
252,29470,840
253,30320,850
254,31200,880
255,32090,890
256,33010,920
257,33940,930
258,34880,940
259,35850,970
260,36840,990
261,37840,1000
262,38860,1020
263,39900,1040
264,40970,1070
265,42050,1080
266,43150,1100
267,44270,1120
268,45410,1140
269,46580,1170
270,47760,1180
271,48960,1200
272,50180,1220
273,51430,1250
274,52700,1270
275,53990,1290
276,55300,1310
277,56630,1330
278,57980,1350
279,59360,1380
280,60760,1400
281,62180,1420
282,63620,1440
283,65090,1470
284,66580,1490
285,68090,1510
286,69630,1540
287,71190,1560
288,72780,1590
289,74390,1610
290,76020,1630
291,77680,1660
292,79360,1680
293,81070,1710
294,82800,1730
295,84560,1760
296,86340,1780
297,88150,1810
298,89990,1840
299,91850,1860
300,93740,1890
320,104500,2050
