Elevation (ft),Storage (TAF),Area (acres)
6290.0,0.0,44.19
6290.5,0.0,54.81
6291.0,0.1,65.44
6295.0,0.4,114.72
6300.0,1.1,165.44
6305.0,2.1,202.44
6310.0,3.1,229.23
6315.0,4.3,253.35
6320.0,5.7,275.48
6325.0,7.1,296.44
6330.0,8.6,316.01
6335.0,10.3,355.22
6340.0,12.2,406.99
6345.0,14.3,440.61
6350.0,16.6,468.06
6355.0,19.0,491.8
6360.0,21.5,515.44
6365.0,24.2,539.1
6370.0,26.9,562.05
6375.0,29.8,583.74
6380.0,32.8,606.2
6385.0,35.8,629.57
6390.0,39.0,654.04
6395.0,42.4,678.17
6400.0,45.8,698.12
6405.1,49.4,716.19
