Elevation (ft),Storage (TAF),Area (acres)
5885.0,0.0,0
5886.0,0.0,0.1
5887.0,0.0,0.2
5888.0,0.0,1
5889.0,0.0,1.1
5890.0,0.0,2
5891.0,0.0,2.1
5892.0,0.0,3
5893.0,0.0,5
5894.0,0.0,6
5895.0,0.0,7
5896.0,0.0,8
5897.0,0.0,10
5898.0,0.1,13
5899.0,0.1,15
5900.0,0.1,18
5901.0,0.1,20
5902.0,0.1,23
5903.0,0.1,25
5904.0,0.2,28
5905.0,0.2,31
5906.0,0.2,34
5907.0,0.3,37
5908.0,0.3,39
5909.0,0.3,41
5910.0,0.4,44
5911.0,0.4,46
5912.0,0.5,48
5913.0,0.5,50
5914.0,0.6,53
5915.0,0.6,57
5916.0,0.7,62
5917.0,0.8,68
5918.0,0.8,75
5919.0,0.9,82
5920.0,1.0,90
5921.0,1.1,96
5922.0,1.2,102
5923.0,1.3,109
5924.0,1.4,117
5925.0,1.5,124
5926.0,1.7,133
5927.0,1.8,142
5928.0,1.9,151
5929.0,2.1,159
5930.0,2.3,167
5931.0,2.4,175
5932.0,2.6,183
5933.0,2.8,191
5934.0,3.0,199
5935.0,3.2,208
5936.0,3.4,216
5937.0,3.6,224
5938.0,3.9,232
5939.0,4.1,241
5940.0,4.3,251
5941.0,4.6,261
5942.0,4.9,270
5943.0,5.1,279
5944.0,5.4,287
5945.0,5.7,296
5946.0,6.0,304
5947.0,6.3,313
5948.0,6.6,324
5949.0,7.0,332
5950.0,7.3,341
5951.0,7.6,352
5952.0,8.0,361
5953.0,8.4,370
5954.0,8.7,379
5955.0,9.1,388
5956.0,9.5,397
5957.0,9.9,406
5958.0,10.3,415
5959.0,10.7,423
5960.0,11.2,430
5961.0,11.6,438
5962.0,12.0,445
5963.0,12.5,452
5964.0,13.0,460
5965.0,13.4,468
5966.0,13.9,476
5967.0,14.4,484
5968.0,14.9,490
5969.0,15.3,496
5970.0,15.8,503
5971.0,16.4,510
5972.0,16.9,516
5973.0,17.4,522
5974.0,17.9,529
5975.0,18.4,536
5976.0,19.0,543
5977.0,19.5,550
5978.0,20.1,557
5979.0,20.6,565
5980.0,21.2,573
5981.0,21.8,581
5982.0,22.4,590
5983.0,23.0,600
5984.0,23.6,611
5985.0,24.2,623
5986.0,24.8,636
5987.0,25.5,651
5988.0,26.1,669
5989.0,26.8,683
5990.0,27.5,695
5991.0,28.2,707
5992.0,28.9,719
5993.0,29.6,729
5994.0,30.4,739
5995.0,31.1,749
5996.0,31.9,758
5997.0,32.6,767
5998.0,33.4,775
5999.0,34.2,782
6000.0,35.0,790
6001.0,35.8,798
6002.0,36.6,805
6003.0,37.4,812
6004.0,38.2,818
6005.0,39.0,825
6006.0,39.8,831
6007.0,40.7,837
6008.0,41.5,844
6009.0,42.3,850
6010.0,43.2,856
6011.0,44.1,862
6012.0,44.9,868
6013.0,45.8,874
6014.0,46.7,880
6015.0,47.6,887
6016.0,48.4,893
6017.0,49.3,899
6018.0,50.2,905
6019.0,51.2,911
6020.0,52.1,917
6021.0,53.0,922
6022.0,53.9,928
6023.0,54.8,934
6024.0,55.8,938
6025.0,56.7,938
6026.0,57.7,938
6027.0,58.6,938
6028.0,59.6,938
6029.0,60.5,938
6030.0,61.5,938
6031.0,62.5,938
6032.0,63.5,938
6033.0,64.4,938
6034.0,65.4,938
6035.0,66.4,938
6036.0,67.4,938
6044.5,71.0,938
