,I_BOWMN,I_BRR023,I_CMBIE,I_CMPFW,I_DER001,I_DER004,I_DHC021,I_ENGLB,I_FRDYC,I_FRNCH,I_JKSMD,I_LCBRF,I_MERLC,I_MFY013,I_NBLDB,I_NFY029,I_OGN005,I_RLLNS,I_SCOTF,I_SFD003,I_SFY007,I_SFY048,I_SLT009,I_SPLDG,I_WLF013
1921-10-31,1.43,0.15,0.05,0.03,0.75,0.86,1.47,1.9,2.51,0.29,0.65,0.46,1.7861152306386932,1.62,5.63,9.64,0.41,0.23,0.86,0.21,3.02,1.83,1.38,1.59,0.03
1921-11-30,1.88,1.09,0.36,0.19,0.82,0.94,2.13,5.06,2.06,0.38,1.0,0.94,2.1537272907085643,1.45,7.41,11.08,0.76,1.62,0.94,0.23,3.55,2.25,2.31,2.75,0.23
1921-12-31,3.31,9.33,3.07,1.59,1.27,1.45,6.77,4.12,2.65,0.68,1.91,1.9,8.874839280111269,5.71,13.56,17.92,4.0,14.23,1.45,0.36,6.3,3.84,4.78,5.12,1.93
1922-01-31,3.44,6.81,2.24,1.16,1.9,2.17,5.92,14.21,2.14,0.7,2.36,2.24,4.876265171892506,4.8,20.61,22.14,4.25,10.57,2.17,0.54,10.58,4.38,7.1,5.47,1.41
1922-02-28,4.74,47.03,15.47,7.99,2.69,3.07,16.51,0.0,2.88,0.97,3.29,3.12,10.462659091091261,21.9,32.09,30.9,13.56,80.67,3.07,0.77,15.04,6.05,10.12,7.54,9.73
1922-03-31,4.84,29.37,9.66,4.99,4.58,5.23,10.94,13.42,2.96,0.99,3.75,3.46,12.390117987871598,20.62,47.8,41.97,13.22,58.08,5.23,1.31,24.26,6.44,13.83,9.1,6.08
1922-04-30,8.72,14.14,4.65,2.4,8.91,10.18,11.1,31.85,5.52,1.79,6.61,6.79,12.714209538421265,39.16,94.94,79.41,17.1,36.5,10.18,2.55,47.55,12.09,26.69,16.81,2.93
1922-05-31,28.43,7.54,2.48,1.28,14.5,16.57,10.45,42.17,24.47,5.82,28.52,27.25,10.65510423578386,105.22,201.52,219.09,17.78,27.84,16.57,4.14,97.64,55.9,71.96,43.7,1.56
1922-06-30,33.26,2.04,0.67,0.35,3.27,3.74,1.72,10.02,55.04,6.81,45.28,27.52,2.7726319068801075,54.21,79.92,198.27,4.39,12.06,3.74,0.93,27.48,77.53,37.76,31.24,0.42
1922-07-31,5.7,0.12,0.04,0.02,0.7,0.8,0.45,3.78,12.19,1.17,6.82,3.42,0.6367388537884722,6.22,16.0,43.22,0.79,3.06,0.8,0.2,5.78,12.27,4.69,5.21,0.03
1922-08-31,1.55,0.0,0.0,0.0,0.5,0.57,0.18,2.04,2.4,0.32,1.03,0.43,0.994465068562775,2.74,8.63,18.17,0.23,2.89,0.57,0.14,3.4,2.33,1.36,1.89,0.0
1922-09-30,1.06,0.21,0.07,0.04,0.41,0.47,0.15,4.06,2.47,0.22,0.28,0.19,0.6635283091949162,2.07,4.77,11.21,0.12,5.5,0.47,0.12,2.7,1.54,0.81,0.92,0.04
1922-10-31,2.18,2.49,0.82,0.42,0.96,1.1,1.26,4.13,3.09,0.45,1.02,0.88,1.5317145676986679,2.1,7.49,13.15,0.47,3.65,1.1,0.27,3.75,2.69,2.22,2.84,0.52
